size; sort_merge               ; 
1000; 0.130400; 
101000; 12.226400; 
201000; 12.741400; 
301000; 20.102000; 
401000; 26.907600; 
501000; 32.686000; 
601000; 39.987200; 
701000; 47.742000; 
801000; 54.386600; 
901000; 62.692400; 
1001000; 70.812400; 
1101000; 73.744400; 
1201000; 80.861800; 
1301000; 87.782600; 
1401000; 97.288000; 
1501000; 105.308400; 
1601000; 112.758600; 
1701000; 118.734000; 
1801000; 124.839200; 
1901000; 132.826600; 
2001000; 140.344000; 
2101000; 148.927800; 
2201000; 156.586600; 
2301000; 163.768000; 
2401000; 170.977400; 
2501000; 176.518200; 
2601000; 188.564200; 
2701000; 195.988400; 
2801000; 207.794400; 
2901000; 215.732400; 
3001000; 221.311200; 
3101000; 229.815600; 
3201000; 238.181800; 
3301000; 245.371200; 
3401000; 252.019600; 
3501000; 259.403600; 
3601000; 263.492600; 
3701000; 273.950600; 
3801000; 275.360800; 
3901000; 289.699200; 
4001000; 311.708000; 
4101000; 303.948800; 
4201000; 312.334600; 
4301000; 323.870200; 
4401000; 329.357400; 
4501000; 340.361200; 
4601000; 343.860400; 
4701000; 355.965400; 
4801000; 365.855000; 
4901000; 369.917200; 
5001000; 369.418000; 
5101000; 383.299200; 
5201000; 393.638600; 
5301000; 403.135200; 
5401000; 410.808800; 
5501000; 418.027800; 
5601000; 426.822800; 
5701000; 431.813800; 
5801000; 442.363800; 
5901000; 454.488600; 
6001000; 459.021800; 
6101000; 466.737000; 
6201000; 473.822600; 
6301000; 481.035200; 
6401000; 491.641800; 
6501000; 499.922200; 
6601000; 509.961600; 
6701000; 518.756800; 
6801000; 528.426800; 
6901000; 535.812400; 
7001000; 543.819000; 
7101000; 530.145600; 
7201000; 533.812600; 
7301000; 542.938000; 
7401000; 551.231400; 
7501000; 557.856800; 
7601000; 560.990000; 
7701000; 571.900200; 
7801000; 577.061000; 
7901000; 585.779400; 
8001000; 589.684200; 
8101000; 600.359000; 
8201000; 611.520800; 
8301000; 620.651000; 
8401000; 631.922000; 
8501000; 641.127200; 
8601000; 649.414200; 
8701000; 658.025000; 
8801000; 668.302200; 
8901000; 677.996400; 
9001000; 689.588800; 
9101000; 692.616600; 
9201000; 696.405000; 
9301000; 706.533600; 
9401000; 711.377400; 
9501000; 720.171600; 
9601000; 726.185600; 
9701000; 739.028200; 
9801000; 744.572800; 
9901000; 751.600200; 
