size; sort_by_median_of_three  ; sort_by_central          ; sort_by_rand             ; sort_by_median_of_medians; 
1000; 0.045600; 0.041800; 0.118000; 0.306800; 
101000; 7.410800; 4.419200; 4.854800; 14.871000; 
201000; 9.547400; 9.229800; 10.207200; 30.427200; 
301000; 14.500800; 13.984400; 15.854200; 46.654000; 
401000; 19.844600; 19.135800; 21.229600; 62.375800; 
501000; 24.943800; 24.060200; 26.728600; 78.883600; 
601000; 30.133400; 29.227600; 32.600800; 96.576800; 
701000; 36.233800; 34.979200; 38.557400; 113.410600; 
801000; 41.774800; 40.159600; 43.816600; 130.132400; 
901000; 47.161400; 45.673600; 49.883600; 146.460400; 
1001000; 52.287200; 50.358600; 55.599000; 162.777000; 
1101000; 58.020200; 56.130000; 61.740600; 182.333400; 
1201000; 63.214800; 61.471800; 68.685400; 201.632800; 
1301000; 69.706400; 67.683800; 74.662400; 218.301200; 
1401000; 76.073400; 73.085200; 80.051800; 235.137800; 
1501000; 81.972000; 78.988800; 85.719800; 253.580600; 
1601000; 87.640200; 84.247400; 91.706800; 270.088200; 
1701000; 93.639800; 89.806000; 99.171600; 287.846800; 
1801000; 98.876800; 95.117600; 104.655800; 304.764800; 
1901000; 104.495200; 101.470800; 110.890800; 320.627800; 
2001000; 110.186000; 106.360000; 117.585200; 338.243200; 
2101000; 115.802600; 111.710600; 122.880400; 359.536400; 
2201000; 120.563000; 116.688400; 128.291600; 377.325600; 
2301000; 126.853000; 123.047800; 135.425600; 397.133200; 
2401000; 132.513800; 128.294400; 141.484000; 415.517200; 
2501000; 138.709000; 135.240400; 149.692200; 434.330600; 
2601000; 144.492600; 140.246600; 155.071200; 454.142000; 
2701000; 151.642600; 147.235600; 160.426200; 470.189200; 
2801000; 157.586400; 152.722600; 166.721400; 486.350200; 
2901000; 164.431000; 158.856800; 174.233800; 504.926200; 
3001000; 170.460400; 164.490800; 177.948400; 523.976200; 
3101000; 176.132000; 170.181400; 183.818000; 540.194400; 
3201000; 182.459000; 176.628400; 191.333800; 558.781400; 
3301000; 190.243200; 183.117400; 198.722400; 575.503000; 
3401000; 193.845800; 186.463000; 205.612200; 596.876000; 
3501000; 199.043800; 192.444200; 208.599600; 614.746800; 
3601000; 205.577800; 198.600200; 216.402200; 632.353000; 
3701000; 212.439200; 205.833400; 222.273800; 643.382200; 
3801000; 216.295800; 210.254600; 230.587600; 663.377800; 
3901000; 223.238600; 214.809000; 236.513800; 684.646800; 
4001000; 228.315400; 221.186200; 241.970600; 702.332800; 
4101000; 234.098400; 227.483600; 248.657000; 722.332000; 
4201000; 239.909000; 233.669800; 253.448400; 745.407200; 
4301000; 245.006800; 238.005400; 259.251800; 763.547800; 
4401000; 251.577400; 242.378600; 265.651200; 782.841200; 
4501000; 257.512400; 249.925000; 272.054000; 801.347200; 
4601000; 264.637800; 255.955000; 280.373200; 823.481800; 
4701000; 268.318600; 260.599000; 287.476000; 842.696800; 
4801000; 276.197200; 267.921400; 295.133000; 865.975600; 
4901000; 280.665400; 272.626000; 302.948400; 882.347200; 
5001000; 287.832000; 280.346400; 309.044000; 894.493200; 
5101000; 293.976400; 284.748000; 313.713400; 919.394000; 
5201000; 300.477000; 292.345800; 319.222000; 932.558000; 
5301000; 308.642800; 300.156000; 325.182600; 951.142200; 
5401000; 315.977600; 307.634000; 331.445800; 971.463200; 
5501000; 322.534000; 314.420600; 339.662800; 985.760400; 
5601000; 327.517400; 322.065800; 345.635800; 1004.181600; 
5701000; 336.035200; 325.542800; 353.435800; 1024.234200; 
5801000; 342.460200; 330.345200; 360.233200; 1042.387400; 
5901000; 350.123600; 336.977200; 367.749200; 1063.440400; 
6001000; 353.095400; 340.656800; 369.678200; 1081.543000; 
6101000; 359.852600; 348.554000; 375.460800; 1103.295600; 
6201000; 365.494400; 351.973800; 382.918800; 1119.563400; 
6301000; 376.374400; 361.116600; 388.641800; 1137.872000; 
6401000; 377.496000; 364.763200; 393.942600; 1158.430600; 
6501000; 386.958800; 373.563000; 403.282400; 1172.666600; 
6601000; 394.827200; 381.745800; 410.529200; 1188.541800; 
6701000; 400.055400; 387.180000; 419.886600; 1214.674200; 
6801000; 402.314000; 389.752800; 422.091800; 1234.988400; 
6901000; 407.773800; 393.895600; 428.854000; 1245.317000; 
7001000; 412.411200; 401.945200; 429.855800; 1266.211600; 
7101000; 420.075600; 406.897000; 439.541000; 1286.658600; 
7201000; 426.297600; 411.447400; 446.775000; 1300.525000; 
7301000; 434.391400; 419.786600; 456.204600; 1319.488400; 
7401000; 440.121600; 425.507000; 461.539800; 1335.138400; 
7501000; 446.567000; 431.077400; 469.666600; 1359.037600; 
7601000; 450.979400; 439.298600; 472.512400; 1372.918000; 
7701000; 458.953400; 443.572400; 478.373000; 1397.368600; 
7801000; 462.669400; 445.343000; 487.698400; 1415.244600; 
7901000; 473.323200; 454.157600; 491.914400; 1427.784800; 
8001000; 473.640200; 460.526200; 503.659000; 1451.546600; 
8101000; 482.582400; 468.373000; 507.311400; 1469.431200; 
8201000; 488.681400; 474.049000; 511.913600; 1498.577600; 
8301000; 493.278400; 482.773600; 519.212200; 1520.703800; 
8401000; 499.548200; 485.279400; 526.862600; 1536.098200; 
8501000; 506.103000; 492.303600; 534.173000; 1556.035000; 
8601000; 507.504800; 492.016800; 535.567800; 1577.834600; 
8701000; 519.106600; 501.655600; 545.072800; 1592.398400; 
8801000; 525.931800; 507.830200; 551.769000; 1611.647000; 
8901000; 531.107400; 514.342600; 560.521000; 1637.889800; 
9001000; 535.561400; 521.962800; 564.689800; 1655.712000; 
9101000; 542.429800; 528.940600; 573.751400; 1677.956600; 
9201000; 547.377000; 532.834000; 577.233600; 1697.606200; 
9301000; 556.882200; 540.279400; 589.152400; 1716.393200; 
9401000; 560.411400; 544.265600; 595.899000; 1740.012200; 
9501000; 567.000600; 551.630600; 601.830800; 1753.453400; 
9601000; 570.967400; 556.116800; 610.404400; 1783.447600; 
9701000; 580.560200; 562.362000; 621.775400; 1803.266400; 
9801000; 582.489600; 568.766000; 627.648200; 1819.792600; 
9901000; 592.106200; 579.297000; 631.779400; 1828.398000; 
