#     size | median of three |         central |            rand |
#-----------------------------------------------------------------
      1000 |         0.07920 |         0.07420 |         0.10860 | 
    101000 |        11.05420 |        10.67780 |        14.70040 | 
    201000 |        22.94200 |        22.26580 |        30.59180 | 
    301000 |        34.97520 |        38.06580 |        50.44620 | 
    401000 |        50.08700 |        53.38540 |        70.93580 | 
    501000 |        63.51180 |        61.30520 |        84.19960 | 
    601000 |        75.99320 |        74.41220 |        98.64060 | 
    701000 |        86.78400 |        90.57660 |       128.73320 | 
    801000 |       105.12600 |       105.17560 |       149.04160 | 
    901000 |       120.37060 |       123.49360 |       168.96520 | 
   1001000 |       112.93960 |        84.14380 |       106.27480 | 
   1101000 |        89.22020 |        86.96860 |       117.56180 | 
   1201000 |       103.46780 |        93.59440 |       122.00200 | 
   1301000 |       100.74920 |       107.83960 |       140.22760 | 
   1401000 |       109.42580 |       106.46880 |       148.19380 | 
   1501000 |       117.75780 |       114.18780 |       159.02820 | 
   1601000 |       136.95080 |       133.43820 |       176.64640 | 
   1701000 |       147.94840 |       146.94420 |       188.15880 | 
   1801000 |       150.21980 |       149.33580 |       194.30920 | 
   1901000 |       149.93920 |       152.07800 |       223.47980 | 
   2001000 |       167.06440 |       163.83540 |       224.34020 | 
   2101000 |       187.20380 |       178.58020 |       248.45500 | 
   2201000 |       196.04620 |       180.60600 |       229.84400 | 
   2301000 |       187.34600 |       198.17660 |       252.02700 | 
   2401000 |       209.04460 |       210.55220 |       271.67320 | 
   2501000 |       198.45160 |       195.16960 |       264.09880 | 
   2601000 |       207.82940 |       203.79540 |       304.53520 | 
   2701000 |       245.31620 |       234.38240 |       286.96800 | 
   2801000 |       226.72880 |       219.63880 |       298.24320 | 
   2901000 |       234.38380 |       228.47360 |       308.84220 | 
   3001000 |       242.77740 |       236.35040 |       322.14300 | 
   3101000 |       256.81100 |       246.27040 |       324.83880 | 
   3201000 |       258.49980 |       252.42200 |       347.37520 | 
   3301000 |       265.69800 |       259.31260 |       348.28600 | 
   3401000 |       274.76560 |       286.07580 |       401.74480 | 
