#     size |          binary |            10th |  optimized 10th |
#----------------------------------------------------------------|
    100000 |        21.77020 |        23.65460 |        18.79960 | 
    200000 |        45.99500 |        48.70760 |        36.97220 | 
    300000 |        74.58000 |        81.21300 |        63.34080 | 
    400000 |       109.04820 |       110.24780 |        75.60720 | 
    500000 |       127.66520 |       135.28440 |        92.64500 | 
    600000 |       150.66880 |       164.36640 |       111.92300 | 
    700000 |       156.11760 |       123.26800 |        75.75520 | 
    800000 |       120.21120 |       130.68880 |        86.51540 | 
    900000 |       136.17480 |       147.61840 |        97.83420 | 
   1000000 |       152.34600 |       165.08980 |       110.15880 | 
   1100000 |       168.97680 |       182.60300 |       119.61760 | 
   1200000 |       185.77600 |       200.19080 |       130.59820 | 
   1300000 |       203.02780 |       218.28460 |       141.65220 | 
   1400000 |       219.33980 |       236.21680 |       152.79860 | 
   1500000 |       236.69840 |       253.44460 |       163.98980 | 
   1600000 |       253.11760 |       271.83900 |       176.37680 | 
   1700000 |       270.73860 |       289.32800 |       186.48140 | 
   1800000 |       288.80840 |       308.12660 |       197.53860 | 
   1900000 |       305.66960 |       325.37520 |       207.95300 | 
   2000000 |       323.73620 |       342.72320 |       218.99800 | 
   2100000 |       340.49540 |       359.64560 |       230.10060 | 
   2200000 |       358.11940 |       378.70260 |       243.49020 | 
   2300000 |       383.33340 |       398.25020 |       251.63660 | 
   2400000 |       394.78640 |       417.30240 |       262.78760 | 
   2500000 |       411.50060 |       438.30560 |       273.54400 | 
   2600000 |       428.63800 |       456.47000 |       284.14220 | 
   2700000 |       448.62860 |       476.50060 |       295.36040 | 
   2800000 |       466.98280 |       496.95380 |       307.39000 | 
   2900000 |       484.64900 |       517.28540 |       317.40000 | 
   3000000 |       504.48420 |       545.02820 |       328.65220 | 
   3100000 |       529.56320 |       573.41660 |       339.83880 | 
   3200000 |       540.86080 |       577.66200 |       350.28840 | 
   3300000 |       559.50220 |       603.58200 |       361.87200 | 
   3400000 |       577.25540 |       619.41180 |       372.18660 | 
   3500000 |       597.89780 |       645.12900 |       383.70620 | 
   3600000 |       616.92980 |       666.77880 |       394.81460 | 
   3700000 |       634.59100 |       688.48100 |       404.90960 | 
   3800000 |       656.12980 |       708.36200 |       416.57380 | 
   3900000 |       674.80420 |       726.51720 |       427.34640 | 
   4000000 |       693.36940 |       745.93680 |       438.45800 | 
   4100000 |       709.67760 |       771.91680 |       450.19720 | 
   4200000 |       751.31120 |       795.41440 |       460.18560 | 
   4300000 |       751.11800 |       811.71880 |       471.69060 | 
   4400000 |       771.65780 |       831.85560 |       482.41300 | 
   4500000 |       792.50160 |       854.78220 |       493.44020 | 
   4600000 |       811.79020 |       880.23600 |       505.14760 | 
   4700000 |       834.44960 |       898.36020 |       515.96720 | 
   4800000 |       851.17020 |       916.47700 |       544.70460 | 
   4900000 |       876.40060 |       943.68200 |       539.06360 | 
   5000000 |       935.65240 |       961.68480 |       555.95720 | 
   5100000 |       911.57840 |       983.63360 |       559.47020 | 
   5200000 |       935.70580 |       998.37760 |       570.93320 | 
   5300000 |       951.88540 |      1020.92440 |       584.45780 | 
   5400000 |       976.37200 |      1045.27480 |       592.82480 | 
   5500000 |       988.98680 |      1062.22600 |       604.30140 | 
   5600000 |      1029.72780 |      1087.91500 |       614.74340 | 
   5700000 |      1034.13900 |      1108.30380 |       625.38380 | 
   5800000 |      1051.21480 |      1123.95180 |       636.84260 | 
   5900000 |      1069.62600 |      1150.60240 |       647.54460 | 
   6000000 |      1096.96020 |      1162.59020 |       665.94700 | 
   6100000 |      1112.95980 |      1199.05280 |       669.74000 | 
   6200000 |      1152.23200 |      1216.34700 |       692.17760 | 
   6300000 |      1161.12040 |      1238.85980 |       692.31220 | 
   6400000 |      1176.54620 |      1260.04400 |       703.35020 | 
   6500000 |      1201.10820 |      1279.07580 |       714.33140 | 
   6600000 |      1215.73620 |      1301.22600 |       724.71300 | 
   6700000 |      1241.97940 |      1319.73780 |       763.38820 | 
   6800000 |      1317.20160 |      1344.42240 |       746.17360 | 
   6900000 |      1283.37140 |      1355.35740 |       757.92060 | 
   7000000 |      1306.69940 |      1379.65860 |       768.32600 | 
   7100000 |      1331.52640 |      1406.77920 |       780.81440 | 
   7200000 |      1343.98260 |      1437.49020 |       792.21180 | 
   7300000 |      1372.87120 |      1457.47500 |       802.19580 | 
   7400000 |      1392.13860 |      1474.15520 |       828.04980 | 
   7500000 |      1413.71200 |      1496.57800 |       824.75260 | 
   7600000 |      1432.36940 |      1516.60580 |       834.65580 | 
   7700000 |      1451.39620 |      1538.77440 |       846.50320 | 
   7800000 |      1477.08960 |      1560.30140 |       857.36940 | 
   7900000 |      1500.42580 |      1685.35680 |       871.03280 | 
   8000000 |      1519.87540 |      1653.69720 |       880.08020 | 
   8100000 |      1546.09060 |      1779.54500 |       933.36000 | 
   8200000 |      1673.78400 |      1752.41360 |       914.49280 | 
   8300000 |      1637.59520 |      1670.35600 |       915.87740 | 
   8400000 |      1604.49540 |      1695.51300 |       924.22180 | 
   8500000 |      1628.45920 |      1718.81840 |       935.63060 | 
   8600000 |      1648.46180 |      1739.79020 |       945.75940 | 
   8700000 |      1674.44300 |      1771.01080 |       956.82220 | 
   8800000 |      1769.25620 |      1782.07800 |       968.01020 | 
   8900000 |      1719.53200 |      1802.03080 |       978.74340 | 
   9000000 |      1737.42560 |      1833.12260 |      1034.41420 | 
   9100000 |      1776.32740 |      1855.21560 |      1020.28180 | 
   9200000 |      1792.93380 |      1877.58820 |      1018.15260 | 
   9300000 |      1817.06360 |      1902.65860 |      1029.18800 | 
   9400000 |      1837.30900 |      1924.93940 |      1065.23360 | 
   9500000 |      1884.38680 |      1950.12780 |      1070.90200 | 
   9600000 |      1882.31260 |      1964.46820 |      1061.60220 | 
   9700000 |      1909.28660 |      1989.19560 |      1074.95180 | 
   9800000 |      1925.19900 |      2014.19600 |      1083.70500 | 
   9900000 |      1947.36660 |      2033.30680 |      1095.27060 | 
  10000000 |      1980.78120 |      2063.82340 |      1105.87380 | 
