#     size |          binary |           200th | optimized 200th |
#----------------------------------------------------------------|
    100000 |        14.17500 |        74.67900 |        25.00640 | 
    200000 |        27.46720 |       179.22620 |        49.76480 | 
    300000 |        42.34420 |       285.38680 |        75.03880 | 
    400000 |        57.73020 |       393.98640 |       101.08380 | 
    500000 |        73.69900 |       499.91880 |       125.87420 | 
    600000 |        89.85640 |       608.96520 |       150.21080 | 
    700000 |       106.16520 |       716.68040 |       176.49400 | 
    800000 |       122.85940 |       826.29100 |       201.58200 | 
    900000 |       139.58780 |       934.65820 |       229.07300 | 
   1000000 |       156.01200 |      1042.05040 |       251.60740 | 
   1100000 |       173.44920 |      1149.66680 |       277.99340 | 
   1200000 |       190.83560 |      1276.67140 |       315.09320 | 
   1300000 |       226.31980 |      1423.65180 |       329.71700 | 
   1400000 |       224.35640 |      1477.38600 |       353.23080 | 
   1500000 |       241.30020 |      1583.52360 |       387.24880 | 
   1600000 |       268.89240 |      1694.96960 |       403.08360 | 
   1700000 |       276.85480 |      1847.73260 |       429.65220 | 
   1800000 |       294.46140 |      1910.19380 |       454.69160 | 
   1900000 |       312.05280 |      2017.67280 |       479.51660 | 
   2000000 |       329.52780 |      2128.18120 |       504.23360 | 
   2100000 |       347.58340 |      2239.27160 |       530.13200 | 
   2200000 |       365.36280 |      2346.51440 |       555.37340 | 
   2300000 |       381.94260 |      2451.84860 |       581.23040 | 
   2400000 |       399.93700 |      2564.64540 |       605.21000 | 
   2500000 |       417.97860 |      2679.05100 |       635.40920 | 
   2600000 |       444.39340 |      2792.16960 |       657.53260 | 
   2700000 |       457.59060 |      2906.58000 |       686.78700 | 
   2800000 |       475.06060 |      3015.35360 |       709.24700 | 
   2900000 |       498.79560 |      3129.38100 |       733.59060 | 
   3000000 |       511.12060 |      3235.13520 |       760.41180 | 
   3100000 |       546.53620 |      3343.48920 |       785.46600 | 
   3200000 |       549.51820 |      3456.87820 |       827.88960 | 
   3300000 |       618.47380 |      3679.59740 |       838.61520 | 
   3400000 |       594.70240 |      3746.08580 |       870.03960 | 
   3500000 |       612.44140 |      3781.27120 |       884.68700 | 
   3600000 |       628.67060 |      3897.54520 |       910.82480 | 
   3700000 |       647.56640 |      4002.27340 |       934.86220 | 
   3800000 |       665.71900 |      4110.86540 |       968.89380 | 
   3900000 |       685.72780 |      4221.34800 |       985.81320 | 
   4000000 |       703.94080 |      4331.82380 |      1010.49420 | 
   4100000 |       726.96680 |      4451.13320 |      1036.36720 | 
   4200000 |       746.64860 |      4556.03660 |      1067.31480 | 
   4300000 |       765.99100 |      4672.61780 |      1101.22660 | 
   4400000 |       783.99620 |      4782.17600 |      1115.79660 | 
   4500000 |       803.46840 |      4892.75980 |      1142.00080 | 
   4600000 |       828.11600 |      5007.61020 |      1166.89200 | 
   4700000 |       844.52440 |      5115.43380 |      1191.24760 | 
   4800000 |       862.70940 |      5235.26940 |      1221.02240 | 
   4900000 |       889.27620 |      5345.37280 |      1243.80180 | 
   5000000 |       913.85880 |      5461.45460 |      1264.12920 | 
