#     size |          binary |             5th |   optimized 5th |
#----------------------------------------------------------------|
    100000 |        21.77520 |        21.48680 |        14.26380 | 
    200000 |        46.01340 |        44.98540 |        28.04360 | 
    300000 |        71.35720 |        70.72860 |        42.18040 | 
    400000 |        98.00900 |        96.94860 |        56.03420 | 
    500000 |       124.68100 |       122.42660 |        70.20620 | 
    600000 |       151.44360 |       149.37920 |        86.03820 | 
    700000 |       177.94420 |       166.55380 |        73.68480 | 
    800000 |       125.31720 |       117.35520 |        65.98520 | 
    900000 |       136.09340 |       132.50000 |        74.46980 | 
   1000000 |       153.06840 |       148.87380 |        82.96140 | 
   1100000 |       169.13540 |       164.73100 |        91.11240 | 
   1200000 |       185.82280 |       182.42360 |        99.65300 | 
   1300000 |       204.26980 |       199.64900 |       108.51620 | 
   1400000 |       221.46400 |       216.55240 |       117.01820 | 
   1500000 |       237.95680 |       235.11240 |       125.33340 | 
   1600000 |       255.96100 |       251.32580 |       134.49180 | 
   1700000 |       273.52060 |       269.27240 |       142.56440 | 
   1800000 |       291.96200 |       287.50800 |       150.92940 | 
   1900000 |       308.24140 |       302.25920 |       162.26220 | 
   2000000 |       325.83840 |       322.38760 |       167.38380 | 
   2100000 |       343.59600 |       337.65460 |       175.77140 | 
   2200000 |       362.45000 |       356.67420 |       183.75940 | 
   2300000 |       379.24480 |       375.19440 |       192.15120 | 
   2400000 |       396.75640 |       391.81920 |       200.52900 | 
   2500000 |       414.34520 |       409.75880 |       208.64340 | 
   2600000 |       431.83120 |       428.06180 |       217.17560 | 
   2700000 |       450.63740 |       446.27320 |       229.74480 | 
   2800000 |       468.13760 |       464.45840 |       233.60340 | 
   2900000 |       487.15460 |       481.87140 |       243.21260 | 
   3000000 |       510.90280 |       499.69940 |       250.91520 | 
   3100000 |       524.15760 |       516.94880 |       259.08900 | 
   3200000 |       544.39340 |       540.74200 |       267.35180 | 
   3300000 |       561.94220 |       551.89800 |       276.40820 | 
   3400000 |       580.01940 |       570.99600 |       283.55080 | 
   3500000 |       599.59640 |       590.99700 |       292.80660 | 
   3600000 |       620.47660 |       612.04260 |       300.82960 | 
   3700000 |       643.64200 |       631.14460 |       309.43680 | 
   3800000 |       661.79040 |       649.64880 |       317.95520 | 
   3900000 |       673.90420 |       662.99740 |       326.35380 | 
   4000000 |       706.76400 |       677.23960 |       334.79500 | 
   4100000 |       720.97360 |       698.80200 |       343.00400 | 
